2010950703	小林香菜	354	1443925649
2010988863	宫泽佐江	649	1438070437
2178295300	AKB48	2023	1455461220
2232872280	小嶋阳菜	78	1446296851
2689280541	SNH48	12509	1455271609
3050708243	陈观慧	1994	1455419431
3050709151	戴萌	3594	1455448449
3050731261	吴哲晗	2370	1455445352
3050737061	许佳琪	3700	1455458958
3050742117	陈思	3188	1455443664
3050758665	徐晨辰	2746	1455374049
3050783091	张语格	1508	1455447923
3050792913	李宇琪	1776	1455194526
3053424305	莫寒	2303	1455366038
3054571717	赵嘉敏	1873	1455110019
3054701195	星梦咖啡馆	1204	1454310566
3055272517	钱蓓婷	2429	1455287274
3058127927	孔肖吟	1858	1455461349
3062769307	邱欣怡	2045	1455422824
3145968457	铃木玛莉亚	549	1453711114
3668820134	沈之琳	2125	1455438316
3668822213	黄婷婷	2219	1455456902
3668829440	赵粤	2565	1455200513
3668830595	陈佳莹	2636	1455375106
3669076064	曾艳芬	1374	1455087407
3669091483	孙芮	3158	1455347496
3669102477	鞠婧祎	1734	1455083394
3669120105	陆婷	1572	1455461586
3675573934	蒋芸	1135	1455118697
3675584885	董艳芸	2470	1455173096
3675587802	唐安琪	3104	1455447734
3675601605	易嘉爱	2850	1455436122
3675603887	温晶婕	2090	1455451010
3675865547	林思意	4323	1455459983
3675868752	冯薪朵	1631	1455464811
3675885002	何晓玉	1771	1455349620
3675905275	徐子轩	1036	1455377295
3700231960	孟玥	1526	1454845568
3700233717	李艺彤	1988	1455268001
3705935353	罗兰	2628	1455426658
3705939425	龚诗淇	2655	1455433983
3705941004	万丽娜	1927	1455442481
3720838047	袁雨桢	1536	1455459795
5061491055	板野友美	447	1453717690
5103897733	陈问言	1441	1455378858
5221053921	陈怡馨	743	1455459244
5221220112	赵晔	1290	1455465119
5225534295	张雨鑫	785	1455431392
5225561029	杨吟雨	689	1426430149
5225886388	袁丹妮	1524	1455455317
5227765832	杨惠婷	1554	1455423885
5227767332	李豆豆	694	1447224172
5228056212	许杨玉琢	2091	1455372753
5228057280	徐伊人	1636	1455458788
5228234876	张昕	1242	1455458817
5229579490	郝婉晴	517	1455454992
5229864870	王璐	2726	1455379742
5230456780	徐晗	1675	1455288676
5230465572	王柏硕	1534	1455457380
5230466807	刘炅然	1787	1455464269
5230468891	刘佩鑫	2416	1455382748
5230874533	谢妮	1124	1455425082
5230875267	吴燕文	1802	1455278662
5231168847	李清扬	1535	1455283505
5231176541	林楠	1141	1455202966
5460950220	陈琳	1251	1455428907
5460950557	张韵雯	1433	1455382568
5460951688	李钊	2051	1455459155
5460952383	邵雪聪	1598	1455418869
5461287018	冯晓菲	1087	1455458105
5461288256	张丹三	1494	1455454651
5461873197	张瑾	60	1425914108
5461873487	孙静怡	616	1445702567
5462211905	李晶	902	1455455768
5478872932	孙歆文	961	1455364007
5478873704	汪佳翎	975	1455280896
5479678683	宋昕冉	1282	1455277133
5490234918	王晓佳	1215	1455447230
5490236021	闫明筠	1024	1455427410
5490615346	谢天依	878	1455459477
5490958194	杨韫玉	1110	1455426337
5491330253	汪束	462	1455459539
5491331848	杨冰怡	2041	1455444051
5680339910	陈珂	211	1455438497
5680341906	陈音	354	1455418005
5680342179	刘诗蕾	247	1455293274
5680343342	费沁源	355	1455427386
5681003434	陈韫凌	138	1455445295
5681004199	段艺璇	296	1455464096
5681072386	蒋舒婷	204	1455416813
5681353210	陈美君	96	1455462724
5681355162	杜雨微	81	1455382975
5681431060	申月姣	408	1455432893
5681431767	刘增艳	256	1455429337
5681476803	刘梦雅	117	1455181844
5681479865	李沁洁	301	1455445881
5681480311	刘筱筱	64	1455243579
5681828458	林嘉佩	165	1455464753
5681945173	沈梦瑶	288	1455459565
5682588352	王露皎	451	1455422823
5685088161	冯雪莹	140	1455373202
5686134819	洪珮雲	216	1455374103
5690266096	宋思娴	138	1455452720
5691238431	胡晓慧	226	1455423734
5691239843	潘瑛琪	439	1455435367
5691247924	时语婕	39	1450415844
5691250627	袁航	266	1455458461
5692183212	徐佳丽	482	1455449151
5692872163	刘力玮	579	1455443659
5693244741	周怡	672	1455465020
